Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000212907	4539	MT-ND4L	protein_coding	HGNC Symbol	1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	-0.13	-0.68	0.42	0.64	0.83	-0.21	-0.81	0.38	0.46	0.58	-0.42	-1.07	0.23	0.19	0.25	-0.51	-1.00	-0.03	0.04	0.06	
ENSG00000212916	54627	MAP10	protein_coding	HGNC Symbol	1	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	0.55	-0.22	1.32	0.15	0.38	0.80	0.33	1.27	0.00	0.01	2.15	1.39	2.92	0.00	0.00	2.40	1.92	2.88	0.00	0.00	
ENSG00000212978	339803	AC016747.1	processed_transcript	Clone-based (Ensembl) gene	4		0.01	-0.38	0.40	0.97	0.99	-0.46	-0.76	-0.16	0.00	0.01	1.46	1.07	1.85	0.00	0.00	0.99	0.70	1.29	0.00	0.00	
ENSG00000212993	5462	POU5F1B	protein_coding	HGNC Symbol	1	POU class 5 homeobox 1B [Source:HGNC Symbol;Acc:HGNC:9223]	-0.31	-0.86	0.24	0.26	0.52	-0.29	-0.98	0.39	0.39	0.51	-0.92	-1.61	-0.23	0.01	0.02	-0.90	-1.45	-0.36	0.00	0.00	
ENSG00000213015	51157	ZNF580	protein_coding	HGNC Symbol	6	zinc finger protein 580 [Source:HGNC Symbol;Acc:HGNC:29473]	0.32	0.06	0.59	0.02	0.10	-0.16	-0.40	0.08	0.18	0.28	0.70	0.41	0.99	0.00	0.00	0.22	0.01	0.42	0.04	0.05	
ENSG00000213020	81856	ZNF611	protein_coding	HGNC Symbol	20	zinc finger protein 611 [Source:HGNC Symbol;Acc:HGNC:28766]	-0.53	-0.78	-0.29	0.00	0.00	-0.09	-0.33	0.16	0.47	0.59	-0.04	-0.32	0.23	0.75	0.80	0.40	0.19	0.62	0.00	0.00	
ENSG00000213023	84258	SYT3	protein_coding	HGNC Symbol	6	synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:11511]	-7.31	-7.97	-6.65	0.00	0.00	-6.32	-7.05	-5.60	0.00	0.00	-1.30	-1.64	-0.95	0.00	0.00	-0.31	-1.23	0.61	0.49	0.54	
ENSG00000213024	23636	NUP62	protein_coding	HGNC Symbol	23	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	0.03	-0.14	0.20	0.69	0.86	0.07	-0.11	0.24	0.44	0.56	0.53	0.33	0.72	0.00	0.00	0.56	0.42	0.70	0.00	0.00	
ENSG00000213025	NA	COX20P1	processed_pseudogene	HGNC Symbol	1	"COX20, cytochrome c oxidase assembly factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31435]"	0.25	-0.23	0.74	0.29	0.55	0.19	-0.34	0.72	0.47	0.59	-0.33	-0.92	0.26	0.26	0.32	-0.40	-0.81	0.01	0.06	0.08	
ENSG00000213047	163486	DENND1B	protein_coding	HGNC Symbol	11	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]	0.59	0.22	0.96	0.00	0.03	1.70	1.32	2.09	0.00	0.00	-0.42	-0.88	0.05	0.08	0.11	0.70	0.43	0.96	0.00	0.00	
ENSG00000213057	400798	C1orf220	lincRNA	HGNC Symbol	2	chromosome 1 open reading frame 220 (putative) [Source:HGNC Symbol;Acc:HGNC:33805]	0.14	-0.40	0.67	0.61	0.81	0.19	-0.36	0.74	0.49	0.61	-0.10	-0.73	0.52	0.74	0.79	-0.05	-0.49	0.39	0.81	0.84	
ENSG00000213058	NA	AL365357.1	processed_pseudogene	Clone-based (Ensembl) gene	1		-0.07	-0.51	0.37	0.75	0.89	-0.78	-1.19	-0.36	0.00	0.00	0.87	0.39	1.35	0.00	0.00	0.16	-0.21	0.53	0.38	0.43	
ENSG00000213062	NA	AL021068.1	lincRNA	Clone-based (Ensembl) gene	1		-0.40	-0.81	0.02	0.06	0.22	0.29	-0.12	0.70	0.16	0.26	-0.19	-0.66	0.28	0.41	0.48	0.50	0.15	0.84	0.01	0.01	
ENSG00000213064	375035	SFT2D2	protein_coding	HGNC Symbol	4	SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]	-0.25	-0.56	0.06	0.11	0.31	1.07	0.76	1.38	0.00	0.00	0.14	-0.21	0.50	0.41	0.48	1.46	1.21	1.72	0.00	0.00	
ENSG00000213066	11116	FGFR1OP	protein_coding	HGNC Symbol	7	FGFR1 oncogene partner [Source:HGNC Symbol;Acc:HGNC:17012]	0.10	-0.15	0.34	0.43	0.67	0.11	-0.12	0.34	0.34	0.46	0.35	0.07	0.63	0.02	0.03	0.36	0.17	0.56	0.00	0.00	
ENSG00000213071	80350	LPAL2	transcribed_unprocessed_pseudogene	HGNC Symbol	6	"lipoprotein(a) like 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:21210]"	0.03	-0.97	1.03	0.96	0.98	0.51	-0.03	1.06	0.06	0.13	2.49	1.55	3.42	0.00	0.00	2.97	2.32	3.63	0.00	0.00	
ENSG00000213073	729603	AL353625.1	transcribed_processed_pseudogene	Clone-based (Ensembl) gene	2		0.45	-0.12	1.01	0.11	0.32	-0.25	-0.74	0.24	0.30	0.42	0.86	0.25	1.47	0.01	0.01	0.16	-0.27	0.59	0.45	0.51	
ENSG00000213079	22828	SCAF8	protein_coding	HGNC Symbol	6	SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]	0.08	-0.08	0.25	0.32	0.58	-0.24	-0.41	-0.08	0.01	0.02	0.83	0.64	1.02	0.00	0.00	0.51	0.37	0.64	0.00	0.00	
ENSG00000213096	9534	ZNF254	protein_coding	HGNC Symbol	8	zinc finger protein 254 [Source:HGNC Symbol;Acc:HGNC:13047]	-0.14	-0.31	0.03	0.10	0.31	-0.09	-0.26	0.08	0.30	0.42	0.04	-0.15	0.24	0.67	0.73	0.09	-0.05	0.23	0.21	0.25	
ENSG00000213123	255758	TCTEX1D2	protein_coding	HGNC Symbol	5	Tctex1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28482]	-0.22	-0.66	0.22	0.32	0.58	0.21	-0.14	0.55	0.23	0.35	0.99	0.54	1.44	0.00	0.00	1.42	1.08	1.75	0.00	0.00	
ENSG00000213139	1427	CRYGS	protein_coding	HGNC Symbol	3	crystallin gamma S [Source:HGNC Symbol;Acc:HGNC:2417]	-0.35	-0.88	0.19	0.19	0.44	-0.59	-1.12	-0.06	0.03	0.07	0.21	-0.37	0.79	0.46	0.54	-0.03	-0.51	0.44	0.88	0.90	
ENSG00000213145	1396	CRIP1	protein_coding	HGNC Symbol	6	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	-1.91	-2.79	-1.03	0.00	0.00	-0.42	-1.05	0.21	0.18	0.29	0.96	0.18	1.73	0.02	0.03	2.44	1.69	3.20	0.00	0.00	
ENSG00000213160	100526832	KLHL23	protein_coding	HGNC Symbol	7	kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506]	0.02	-0.17	0.21	0.80	0.92	0.08	-0.12	0.27	0.43	0.55	0.26	0.04	0.47	0.02	0.04	0.31	0.15	0.47	0.00	0.00	
ENSG00000213160	151230	KLHL23	protein_coding	HGNC Symbol	7	kelch like family member 23 [Source:HGNC Symbol;Acc:HGNC:27506]	0.02	-0.17	0.21	0.80	0.92	0.08	-0.12	0.27	0.43	0.55	0.26	0.04	0.47	0.02	0.04	0.31	0.15	0.47	0.00	0.00	
ENSG00000213186	286827	TRIM59	protein_coding	HGNC Symbol	8	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	0.40	0.19	0.60	0.00	0.01	-0.07	-0.25	0.11	0.44	0.56	1.39	1.17	1.61	0.00	0.00	0.93	0.77	1.08	0.00	0.00	
ENSG00000213190	10962	MLLT11	protein_coding	HGNC Symbol	1	"MLLT11, transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]"	-0.14	-0.48	0.20	0.42	0.67	0.98	0.65	1.30	0.00	0.00	0.36	-0.02	0.74	0.06	0.10	1.47	1.20	1.74	0.00	0.00	
ENSG00000213197	NA	AC012066.1	processed_pseudogene	Clone-based (Ensembl) gene	1		-0.32	-1.32	0.68	0.52	0.75	-0.32	-1.37	0.74	0.54	0.66	-0.18	-1.33	0.97	0.75	0.80	-0.18	-1.07	0.71	0.69	0.73	
ENSG00000213199	9311	ASIC3	protein_coding	HGNC Symbol	9	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	-0.27	-0.76	0.22	0.27	0.53	0.08	-0.42	0.59	0.74	0.82	-0.17	-0.73	0.40	0.55	0.62	0.19	-0.24	0.61	0.38	0.43	
ENSG00000213212	NA	NCLP1	processed_pseudogene	HGNC Symbol	1	nucleolin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35472]	-0.03	-0.56	0.50	0.91	0.96	-0.02	-0.56	0.51	0.93	0.95	-0.03	-0.64	0.58	0.93	0.94	-0.02	-0.47	0.42	0.92	0.94	
ENSG00000213213	84960	CCDC183	protein_coding	HGNC Symbol	8	coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]	-0.25	-0.88	0.38	0.42	0.67	0.60	-0.01	1.21	0.05	0.11	-0.06	-0.78	0.66	0.86	0.89	0.79	0.29	1.30	0.00	0.01	
ENSG00000213214	445328	ARHGEF35	protein_coding	HGNC Symbol	1	Rho guanine nucleotide exchange factor 35 [Source:HGNC Symbol;Acc:HGNC:33846]	-0.86	-1.50	-0.21	0.01	0.07	-0.77	-1.89	0.34	0.17	0.27	-2.49	-3.46	-1.51	0.00	0.00	-2.40	-3.25	-1.56	0.00	0.00	
ENSG00000213218	1443	CSH2	protein_coding	HGNC Symbol	7	chorionic somatomammotropin hormone 2 [Source:HGNC Symbol;Acc:HGNC:2441]	4.32	3.19	5.46	0.00	0.00	4.08	2.91	5.25	0.00	0.00	-0.86	-2.39	0.67	0.26	0.33	-1.10	-1.66	-0.54	0.00	0.00	
ENSG00000213221	728489	DNLZ	protein_coding	HGNC Symbol	2	DNL-type zinc finger [Source:HGNC Symbol;Acc:HGNC:33879]	-0.08	-0.74	0.59	0.81	0.92	-0.63	-1.15	-0.11	0.02	0.05	1.32	0.65	1.98	0.00	0.00	0.77	0.25	1.29	0.01	0.01	
ENSG00000213231	9623	TCL1B	protein_coding	HGNC Symbol	3	T-cell leukemia/lymphoma 1B [Source:HGNC Symbol;Acc:HGNC:11649]	-0.12	-0.79	0.56	0.72	0.88	1.88	0.29	3.47	0.02	0.05	-5.59	-7.01	-4.17	0.00	0.00	-3.60	-4.58	-2.62	0.00	0.00	
ENSG00000213246	6827	SUPT4H1	protein_coding	HGNC Symbol	7	"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]"	0.04	-0.15	0.24	0.67	0.84	-0.39	-0.58	-0.19	0.00	0.00	0.65	0.43	0.87	0.00	0.00	0.22	0.06	0.39	0.01	0.01	
ENSG00000213277	NA	MARCKSL1P1	processed_pseudogene	HGNC Symbol	1	MARCKS like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45239]	-0.77	-1.52	-0.03	0.04	0.18	1.66	0.50	2.82	0.01	0.02	-2.80	-3.98	-1.63	0.00	0.00	-0.37	-1.10	0.35	0.30	0.35	
ENSG00000213281	4893	NRAS	protein_coding	HGNC Symbol	1	"NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]"	-0.07	-0.24	0.11	0.45	0.69	0.30	0.11	0.48	0.00	0.01	0.63	0.43	0.84	0.00	0.00	0.99	0.84	1.14	0.00	0.00	
ENSG00000213290	NA	PGK1P2	processed_pseudogene	HGNC Symbol	1	"phosphoglycerate kinase 1, pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8899]"	0.19	-0.25	0.64	0.38	0.64	-0.94	-1.44	-0.44	0.00	0.00	0.03	-0.49	0.55	0.89	0.92	-1.10	-1.53	-0.68	0.00	0.00	
ENSG00000213315	NA	AL122020.1	processed_pseudogene	Clone-based (Ensembl) gene	1		0.06	-0.37	0.48	0.78	0.91	-0.42	-0.80	-0.04	0.03	0.07	0.74	0.28	1.19	0.00	0.01	0.26	-0.08	0.61	0.13	0.17	
ENSG00000213337	51239	ANKRD39	protein_coding	HGNC Symbol	2	ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]	-0.06	-0.33	0.20	0.62	0.82	-0.04	-0.33	0.25	0.76	0.83	-0.38	-0.70	-0.07	0.02	0.03	-0.36	-0.59	-0.13	0.00	0.01	
ENSG00000213339	81890	QTRT1	protein_coding	HGNC Symbol	12	queuine tRNA-ribosyltransferase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:23797]	-0.12	-0.38	0.14	0.37	0.62	-0.27	-0.54	0.00	0.05	0.10	-0.04	-0.35	0.26	0.76	0.81	-0.20	-0.42	0.03	0.08	0.11	
ENSG00000213341	1147	CHUK	protein_coding	HGNC Symbol	4	conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:HGNC:1974]	-0.17	-0.38	0.04	0.10	0.30	0.05	-0.17	0.26	0.65	0.75	-0.14	-0.38	0.10	0.25	0.32	0.08	-0.10	0.26	0.35	0.41	
ENSG00000213347	83463	MXD3	protein_coding	HGNC Symbol	9	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	-0.20	-0.54	0.14	0.24	0.49	0.77	0.44	1.09	0.00	0.00	-0.05	-0.44	0.34	0.79	0.84	0.92	0.65	1.19	0.00	0.00	
ENSG00000213366	2946	GSTM2	protein_coding	HGNC Symbol	15	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	0.25	-0.13	0.63	0.19	0.43	0.43	0.12	0.74	0.01	0.02	0.87	0.47	1.28	0.00	0.00	1.05	0.78	1.33	0.00	0.00	
ENSG00000213380	NA	COG8	protein_coding	HGNC Symbol	5	component of oligomeric golgi complex 8 [Source:HGNC Symbol;Acc:HGNC:18623]	-0.03	-0.18	0.13	0.74	0.88	-0.07	-0.22	0.08	0.36	0.48	0.23	0.06	0.41	0.01	0.02	0.19	0.06	0.31	0.01	0.01	
ENSG00000213383	NA	AC104297.1	processed_pseudogene	Clone-based (Ensembl) gene	1		0.34	-0.24	0.93	0.24	0.49	0.67	0.01	1.34	0.05	0.10	-0.62	-1.37	0.13	0.10	0.14	-0.29	-0.77	0.19	0.22	0.27	
ENSG00000213390	84986	ARHGAP19	protein_coding	HGNC Symbol	7	Rho GTPase activating protein 19 [Source:HGNC Symbol;Acc:HGNC:23724]	0.06	-0.16	0.28	0.59	0.79	0.13	-0.10	0.36	0.25	0.36	-0.34	-0.59	-0.08	0.01	0.02	-0.26	-0.45	-0.08	0.01	0.01	
ENSG00000213397	55559	HAUS7	protein_coding	HGNC Symbol	11	HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979]	-0.12	-0.58	0.34	0.61	0.81	0.25	-0.24	0.75	0.30	0.43	-0.34	-0.89	0.21	0.21	0.27	0.03	-0.37	0.42	0.89	0.91	
ENSG00000213398	3931	LCAT	protein_coding	HGNC Symbol	9	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	-0.47	-0.90	-0.04	0.03	0.15	-0.12	-0.60	0.37	0.63	0.73	-0.61	-1.12	-0.10	0.02	0.04	-0.26	-0.65	0.14	0.20	0.24	
ENSG00000213420	221914	GPC2	protein_coding	HGNC Symbol	5	glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]	0.02	-0.20	0.24	0.86	0.94	0.14	-0.09	0.38	0.22	0.34	-0.76	-1.02	-0.49	0.00	0.00	-0.63	-0.82	-0.44	0.00	0.00	
ENSG00000213442	NA	RPL18AP3	processed_pseudogene	HGNC Symbol	1	ribosomal protein L18a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31387]	-0.32	-0.80	0.15	0.17	0.41	-0.58	-1.07	-0.09	0.02	0.05	0.00	-0.52	0.53	0.99	0.99	-0.25	-0.69	0.18	0.24	0.29	
ENSG00000213445	6494	SIPA1	protein_coding	HGNC Symbol	10	signal-induced proliferation-associated 1 [Source:HGNC Symbol;Acc:HGNC:10885]	0.08	-0.12	0.27	0.43	0.68	0.35	0.10	0.61	0.01	0.02	-1.92	-2.18	-1.66	0.00	0.00	-1.64	-1.83	-1.46	0.00	0.00	
ENSG00000213462	2086	ERV3-1	protein_coding	HGNC Symbol	3	"endogenous retrovirus group 3 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:3454]"	-0.93	-1.23	-0.64	0.00	0.00	-0.94	-1.16	-0.72	0.00	0.00	1.57	1.29	1.84	0.00	0.00	1.56	1.32	1.80	0.00	0.00	
ENSG00000213463	55333	SYNJ2BP	protein_coding	HGNC Symbol	2	synaptojanin 2 binding protein [Source:HGNC Symbol;Acc:HGNC:18955]	0.14	-0.07	0.34	0.19	0.43	0.10	-0.11	0.31	0.34	0.46	0.09	-0.15	0.33	0.44	0.52	0.05	-0.12	0.23	0.52	0.58	
ENSG00000213465	402	ARL2	protein_coding	HGNC Symbol	6	ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693]	-0.09	-0.35	0.18	0.50	0.73	-0.71	-0.98	-0.43	0.00	0.00	-0.16	-0.47	0.15	0.30	0.37	-0.78	-1.01	-0.55	0.00	0.00	
ENSG00000213468	286467	FIRRE	lincRNA	HGNC Symbol	2	firre intergenic repeating RNA element [Source:HGNC Symbol;Acc:HGNC:49627]	0.53	0.28	0.77	0.00	0.00	-0.46	-0.71	-0.21	0.00	0.00	0.48	0.20	0.77	0.00	0.00	-0.50	-0.71	-0.30	0.00	0.00	
ENSG00000213516	494115	RBMXL1	protein_coding	HGNC Symbol	3	"RNA binding motif protein, X-linked like 1 [Source:HGNC Symbol;Acc:HGNC:25073]"	-0.17	-0.42	0.08	0.17	0.41	0.20	-0.04	0.45	0.10	0.17	0.34	0.06	0.62	0.02	0.03	0.72	0.51	0.92	0.00	0.00	
ENSG00000213523	10011	SRA1	protein_coding	HGNC Symbol	6	steroid receptor RNA activator 1 [Source:HGNC Symbol;Acc:HGNC:11281]	-0.30	-0.49	-0.10	0.00	0.04	-0.46	-0.65	-0.26	0.00	0.00	0.16	-0.06	0.38	0.15	0.20	0.00	-0.17	0.16	0.98	0.98	
ENSG00000213533	375346	TMEM110	protein_coding	HGNC Symbol	6	transmembrane protein 110 [Source:HGNC Symbol;Acc:HGNC:30526]	0.06	-0.22	0.34	0.67	0.84	0.39	0.08	0.70	0.02	0.04	-0.54	-0.88	-0.20	0.00	0.01	-0.21	-0.45	0.02	0.08	0.10	
ENSG00000213551	23234	DNAJC9	protein_coding	HGNC Symbol	4	DnaJ heat shock protein family (Hsp40) member C9 [Source:HGNC Symbol;Acc:HGNC:19123]	0.18	-0.05	0.42	0.13	0.34	0.38	0.16	0.60	0.00	0.01	0.55	0.28	0.81	0.00	0.00	0.74	0.55	0.93	0.00	0.00	
ENSG00000213553	NA	RPLP0P6	processed_pseudogene	HGNC Symbol	1	ribosomal protein lateral stalk subunit P0 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36404]	-0.02	-0.34	0.30	0.90	0.96	-0.54	-0.84	-0.24	0.00	0.00	0.62	0.27	0.97	0.00	0.00	0.10	-0.17	0.37	0.44	0.50	
ENSG00000213563	414919	C8orf82	protein_coding	HGNC Symbol	5	chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826]	-0.14	-0.35	0.08	0.20	0.44	-0.41	-0.63	-0.19	0.00	0.00	0.21	-0.04	0.45	0.09	0.14	-0.06	-0.25	0.12	0.49	0.54	
ENSG00000213585	7416	VDAC1	protein_coding	HGNC Symbol	7	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	-0.05	-0.18	0.08	0.47	0.71	-0.05	-0.19	0.08	0.45	0.57	-0.94	-1.10	-0.79	0.00	0.00	-0.95	-1.06	-0.84	0.00	0.00	
ENSG00000213593	51075	TMX2	protein_coding	HGNC Symbol	9	thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]	0.06	-0.22	0.33	0.68	0.85	-0.18	-0.46	0.10	0.20	0.31	0.05	-0.26	0.37	0.74	0.79	-0.18	-0.42	0.05	0.12	0.15	
ENSG00000213612	NA	FAM220CP	processed_pseudogene	HGNC Symbol	1	"family with sequence similarity 220 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:43640]"	-0.04	-0.70	0.63	0.91	0.96	-0.99	-2.62	0.64	0.22	0.34	-3.47	-4.79	-2.16	0.00	0.00	-4.43	-5.60	-3.25	0.00	0.00	
ENSG00000213613	NA	RPL11P3	processed_pseudogene	HGNC Symbol	1	ribosomal protein L11 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:36342]	-0.17	-1.00	0.66	0.68	0.85	-0.51	-1.34	0.33	0.23	0.34	0.16	-0.77	1.09	0.73	0.78	-0.18	-0.91	0.55	0.61	0.66	
ENSG00000213614	3073	HEXA	protein_coding	HGNC Symbol	16	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	0.16	-0.03	0.35	0.10	0.30	-0.29	-0.46	-0.11	0.00	0.01	0.73	0.52	0.94	0.00	0.00	0.29	0.13	0.44	0.00	0.00	
ENSG00000213619	4722	NDUFS3	protein_coding	HGNC Symbol	13	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	-0.05	-0.25	0.16	0.64	0.83	-0.22	-0.43	-0.02	0.04	0.08	0.06	-0.18	0.29	0.63	0.69	-0.12	-0.29	0.05	0.16	0.20	
ENSG00000213625	54741	LEPROT	protein_coding	HGNC Symbol	6	leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]	0.10	-0.19	0.40	0.47	0.71	0.28	0.03	0.54	0.03	0.07	0.91	0.59	1.22	0.00	0.00	1.09	0.86	1.31	0.00	0.00	
ENSG00000213626	81606	LBH	protein_coding	HGNC Symbol	9	limb bud and heart development [Source:HGNC Symbol;Acc:HGNC:29532]	-0.98	-1.36	-0.60	0.00	0.00	1.89	1.38	2.39	0.00	0.00	-3.10	-3.64	-2.56	0.00	0.00	-0.23	-0.56	0.10	0.16	0.20	
ENSG00000213638	113179	ADAT3	protein_coding	HGNC Symbol	2	"adenosine deaminase, tRNA specific 3 [Source:HGNC Symbol;Acc:HGNC:25151]"	-0.14	-0.44	0.16	0.34	0.60	-0.22	-0.54	0.10	0.17	0.27	-0.26	-0.61	0.09	0.14	0.19	-0.34	-0.60	-0.07	0.02	0.02	
ENSG00000213639	5500	PPP1CB	protein_coding	HGNC Symbol	9	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	0.24	0.06	0.41	0.01	0.07	0.27	0.09	0.45	0.00	0.01	0.50	0.30	0.70	0.00	0.00	0.54	0.39	0.69	0.00	0.00	
ENSG00000213672	51517	NCKIPSD	protein_coding	HGNC Symbol	9	NCK interacting protein with SH3 domain [Source:HGNC Symbol;Acc:HGNC:15486]	-0.02	-0.19	0.16	0.83	0.93	-0.49	-0.66	-0.32	0.00	0.00	0.52	0.32	0.72	0.00	0.00	0.05	-0.10	0.19	0.52	0.57	
ENSG00000213689	11277	TREX1	protein_coding	HGNC Symbol	6	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	0.24	-0.33	0.80	0.40	0.65	0.58	0.00	1.17	0.05	0.10	-0.19	-0.87	0.48	0.57	0.63	0.16	-0.29	0.61	0.48	0.54	
ENSG00000213693	NA	SEC14L1P1	processed_pseudogene	HGNC Symbol	1	SEC14 like 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44189]	0.58	-0.08	1.24	0.08	0.26	0.22	-0.31	0.75	0.40	0.53	1.10	0.40	1.81	0.00	0.01	0.74	0.28	1.21	0.00	0.00	
ENSG00000213694	1903	S1PR3	protein_coding	HGNC Symbol	2	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	-0.06	-0.54	0.42	0.81	0.92	-0.68	-1.01	-0.35	0.00	0.00	2.60	2.13	3.07	0.00	0.00	1.97	1.63	2.32	0.00	0.00	
ENSG00000213699	54978	SLC35F6	protein_coding	HGNC Symbol	4	solute carrier family 35 member F6 [Source:HGNC Symbol;Acc:HGNC:26055]	-0.15	-0.40	0.10	0.24	0.49	0.06	-0.18	0.29	0.62	0.72	0.44	0.16	0.72	0.00	0.01	0.64	0.44	0.85	0.00	0.00	
ENSG00000213713	NA	PIGCP1	processed_pseudogene	HGNC Symbol	1	phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8961]	0.05	-0.25	0.35	0.74	0.88	0.28	-0.01	0.57	0.06	0.12	0.13	-0.21	0.47	0.45	0.52	0.36	0.12	0.60	0.00	0.01	
ENSG00000213741	6235	RPS29	protein_coding	HGNC Symbol	8	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	-0.07	-0.44	0.29	0.68	0.85	-0.70	-1.07	-0.33	0.00	0.00	0.18	-0.24	0.60	0.38	0.45	-0.45	-0.75	-0.14	0.01	0.01	
ENSG00000213742	102724826	ZNF337-AS1	antisense_RNA	HGNC Symbol	6	ZNF337 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40759]	0.66	0.32	1.01	0.00	0.01	-0.12	-0.45	0.22	0.48	0.60	0.43	0.04	0.83	0.03	0.05	-0.35	-0.62	-0.07	0.01	0.02	
ENSG00000213753	65996	CENPBD1P1	transcribed_processed_pseudogene	HGNC Symbol	8	CENPB DNA-binding domains containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28421]	-0.11	-0.27	0.05	0.15	0.38	0.18	0.02	0.34	0.03	0.06	-0.05	-0.23	0.13	0.57	0.64	0.24	0.11	0.37	0.00	0.00	
ENSG00000213762	7693	ZNF134	protein_coding	HGNC Symbol	4	zinc finger protein 134 [Source:HGNC Symbol;Acc:HGNC:12918]	0.14	-0.01	0.29	0.07	0.24	-0.53	-0.69	-0.38	0.00	0.00	0.25	0.07	0.42	0.01	0.01	-0.43	-0.55	-0.30	0.00	0.00	
ENSG00000213782	51202	DDX47	protein_coding	HGNC Symbol	12	DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]	0.32	-0.13	0.77	0.15	0.38	-0.56	-0.94	-0.17	0.01	0.02	0.98	0.50	1.46	0.00	0.00	0.10	-0.25	0.46	0.55	0.60	
ENSG00000213799	91664	ZNF845	protein_coding	HGNC Symbol	3	zinc finger protein 845 [Source:HGNC Symbol;Acc:HGNC:25112]	-0.23	-0.46	0.00	0.05	0.21	-0.16	-0.39	0.08	0.19	0.30	-0.07	-0.34	0.20	0.59	0.66	0.00	-0.20	0.20	0.99	0.99	
